,Decade,Date,Time,Location,Operator,Flight_Num,Route,Ac_Type,Registration,Cn_Ln,Aboard,Fatalities,Ground,Summary,Aboard_Total,Fatalities_Total,Operator_vs_Military,Country_location
2625,1910,1917-03-30,,Off Northern Germany,Military - German Navy,,,Schutte-Lanz S-L-9 (airship),,,"{'total': 23, 'passengers': None, 'crew': None}","{'total': 23, 'passengers': None, 'crew': None}",0.0,Struck by lightning and crashed into the Baltic Sea.,23,23,Military,Off Northern Germany
2631,1910,1918-04-07,2130,Over the Mediterranean,Military - German Navy,,,Zeppelin L-59 (airship),,,"{'total': 23, 'passengers': None, 'crew': None}","{'total': 23, 'passengers': None, 'crew': None}",0.0,Exploded and crashed into the sea off the southern coast of Italy.,23,23,Military,Over the Mediterranean
2697,1930,1939-01-21,1230,Atlantic Ocean between N.Y. and Bermuda,Imperial Airways,,New York City - Bermuda,Short S-23 (flying boat),G-ADUU,S-812,"{'total': 13, 'passengers': 8, 'crew': 5}","{'total': 3, 'passengers': 2, 'crew': 1}",0.0,"While en route, the aircraft ditched, broke in two  and sank in the Atlantic Ocean, 285 miles SE of Long Island New York. Complete loss of power to the two inner engines and partial loss of power to the two outer engines due to carburetor icing. The aircraft was named ""Cavalier.""",13,3,Imperial Airways,Atlantic Ocean between N.Y. and Bermuda
2721,1930,1939-12-21,1300,Off Malta-Luqa,British Airways,,Egypt - England,Lockheed 14 Super Electra,G-AFYU,1444,"{'total': 8, 'passengers': 6, 'crew': 2}","{'total': 5, 'passengers': 3, 'crew': 2}",0.0,"Ditched into the sea, 300 miles NW of Alexandria, Egypt. A ship rescued six survivers.",8,5,British Airways,Off Malta-Luqa
2799,2010,2014-01-20,1634,Near Petreasa Romania,Scoala Superioara de Aviatie Civla,,Bucharest - Oradea,Britten Norman BN-2A-27 Islander,YR-BNP,822,"{'total': 7, 'passengers': 5, 'crew': 2}","{'total': 2, 'passengers': 1, 'crew': 1}",0.0,The air ambulance left Bucharest with a medical team to obtain transplant organs. After experiencing problems with the engines the pilot attempted to make an emergency landing but crashed on a hillside in deep snow. All aboard initially survived but the pilot and a medical student died before the rescue party reached the aircraft.,7,2,Scoala Superioara de Aviatie Civla,Near Petreasa Romania
2830,2000,2000-03-05,1811,"Burbank, Calilfornia",Southwest Airlines,1455,Las Vegas - Burbank,Boeing B-737-3T5,N668SW,23060/1069,"{'total': 142, 'passengers': 137, 'crew': 5}","{'total': 0, 'passengers': 0, 'crew': 0}",0.0,"While attempting to land at Burbank Airport, the plane overran the runway, collided with a metal blast fence and an airport perimeter wall and came to rest on a city street near a gas station. The plane touched down at 182 knots, 2,150 feet past the runway threshold, too fast and too far down the runway for the plane to stop in time.  In the accident sequence,  the nose gear collapsed, the forward service door (1R) escape slide inflated inside the airplane and  the forward dual flight attendant jumpseat, which was occupied by two flight attendants, partially collapsed. Two passengers sustained serious injuries and 41 passengers and the captain sustained minor injuries. The flightcrew's excessive airspeed and flight path angle during the approach and landing and its failure to abort the approach when stabilized approach criteria were not met. Contributing to the accident was the controller's positioning of the airplane in such a manner as to leave no safe options for the flightcrew other than a go-around maneuver.",142,0,Southwest Airlines,"Burbank, Calilfornia"
2895,1930,1938-03-01,21:30,"Near Wawona, Cailifornia",Trans Continental and Western Air,8,"San Francisco - Winslow, AZ,  Burbank, CA",Douglas DC-2-112,NC13789,1299,"{'total': 9, 'passengers': 6, 'crew': 3}","{'total': 9, 'passengers': 6, 'crew': 3}",0.0,Crashed into the high Sierra after encountering a severe weather front while en route. The pilot radioed that ice was forming on the DC-2's wings as it neared the Tehachapi Mountains near Bakersfield and that he was turning back towards the north to land at Fresno. The aircraft sheared off the tops of pine trees and crashed 200 feet below a summit. The wreckage was not found until 6/12/38.,9,9,Trans Continental and Western Air,"Near Wawona, Cailifornia"
2914,1930,1938-07-29,0411,Pacific Ocean between Manila and Guam,Pan American World Airways,229,Alameda - Manila,Martin M-130 (flying boat),NC14714,556,"{'total': 15, 'passengers': 6, 'crew': 9}","{'total': 15, 'passengers': 6, 'crew': 9}",0.0,"The plane crashed into the ocean while en route between Guam and Manilla. The last known position was 12.27 N, 130.40 W or 582 nm east southeast of Manila at 04:00 GCT. Cause unknown. The plane may have been hijacked by the Japanese and flown to Truk Island where the crew and passengers were murdered. The aircraft was named ""Hawaii Clipper.""",15,15,Pan American World Airways,Pacific Ocean between Manila and Guam
2952,2010,2016-05-19,0249,175 miles off the Egyptian coast,EgyptAir,804,Paris - Cairo,Airbus A320-232,SU-GCC,2088,"{'total': 66, 'passengers': 56, 'crew': 10}","{'total': 66, 'passengers': 56, 'crew': 10}",0.0,"The plane was en route from Paris to Cairo, flying at an altitude of 38,000 ft. when it made a sharp 90 degree turn to the left, followed by a 360 degree turn to the right as it lost altitude. The aircraft crashed into the Mediterranean Sea approximately 175 miles off the Egyptian coast. Two days after the accident, it is confirmed that ACARS messages reported smoke on board, apparently in the lavatory and also in a technical compartment located under the cockpit.The most likely cause was that a fire broke out in the cockpit while the aircraft was flying at its cruise altitude and that the fire spread rapidly resulting in the loss of control of the aircraft.",66,66,EgyptAir,175 miles off the Egyptian coast
3066,2000,2003-10-03,,Sao Gabriel de Cachoeria,Air taxi - Rumo Notre Air Taxi,,Sao Gabriel de Cachoeria - Yauarete,EMB 721C Sertanejo,PT-EBK,,"{'total': 4, 'passengers': 3, 'crew': 1}","{'total': 4, 'passengers': 3, 'crew': 1}",0.0,"The plane disappeared shortly after taking off. Wreckage was found at  2 miles south of Gabriel’s runaway,  in the Amazon forest, 2 days later.  Mechanical failure after the takoff.  Remote area without ATC or radar.",4,4,Air taxi - Rumo Notre Air Taxi,Sao Gabriel de Cachoeria
3164,2000,2006-01-02,1111,Near Karkov,Evolga,,Moscow - Karkov,British Aerospace BAe-125-700A,P4-AOD,257153,"{'total': 3, 'passengers': 0, 'crew': 3}","{'total': 3, 'passengers': 0, 'crew': 3}",0.0,"On a positionning flight from Sheremetyevo to Kharkov to pick up passengers, while on final approach, the aircraft crashed in a frozen lake 3 km from runway threshold.",3,3,Evolga,Near Karkov
3177,2000,2006-05-23,1822,Off São Tomé Island,Air São Tomé,,Training,de Havilland Canada DHC-6 Twin Otter 300,S9-BAL,648,"{'total': 4, 'passengers': 2, 'crew': 2}","{'total': 4, 'passengers': 2, 'crew': 2}",0.0,The aircraft disappeared from radar screens while on approach to São Tomé Island. The aircraft crashed in sea a  few km off shore.,4,4,Air São Tomé,Off São Tomé Island
3242,1920,1928-07-10,,Over the Gulf of Finland,Aero O-Y,,Tallinn - Helsinki,Junkers F-13,K-SALB,760,"{'total': 6, 'passengers': 4, 'crew': 2}","{'total': 6, 'passengers': 4, 'crew': 2}",0.0,Crashed under unknown circumstances,6,6,Aero O-Y,Over the Gulf of Finland
3253,1920,1928-11-15,,Off Gibraltar,Aeropostale,,Marseille - Palma de Majorca,Latecoere 32,F-AISN,80,"{'total': 3, 'passengers': None, 'crew': 3}","{'total': 1, 'passengers': 0, 'crew': 1}",0.0,The sea plane stuck a lightning mast and crashed into houses. Pilot error.,3,1,Aeropostale,Off Gibraltar
3422,2000,2005-09-05,0730,"Isiro, Democtratic Republic Congo",Kavatshi Airlines,,Beni - Isiro,Antonov 26B,ER-AZT,9005,"{'total': 11, 'passengers': 7, 'crew': 4}","{'total': 11, 'passengers': 7, 'crew': 4}",0.0,"While on approach to Runway 31 the plane hit trees, crashed and burned.",11,11,Kavatshi Airlines,"Isiro, Democtratic Republic Congo"
3424,2000,2005-10-04,,"Aru, Democratic Republic Cogo",Wimbi Dira Airways,,Kisangani - Bunia,Antonov 12V,9Q-CWC,2400901,"{'total': 100, 'passengers': 96, 'crew': 4}","{'total': 2, 'passengers': 2, 'crew': 0}",0.0,The aircraft carrying troops made a hard landing causing the landing gear to penetrate the fuselage. Two passengers were killed when they exited the plane and ran into the propellers which were still turning.,100,2,Wimbi Dira Airways,"Aru, Democratic Republic Cogo"
3530,1970,1972-10-16,0900,Off the Alaska coast,Private,,"Anchorage, AK - Juneau, AK",Cessna 310C,N1812H,35912,"{'total': 4, 'passengers': 3, 'crew': 1}","{'total': 4, 'passengers': 3, 'crew': 1}",0.0,"The plane was on a flight from Anchorage to Juneau when it disappeared as it was approaching the Chugach Mountain range.  The weather along the prescribed route was not condusive to VFR flight.  Louisiana Congressman and House Majority Leader Hale Boggs, Alaska Congressman Nick Begich and his aide killed. Cause unknown.",4,4,Private,Off the Alaska coast
3774,1960,1967-10-09,1145,Over the Carribean Sea,LACSA,,"San Jose, Costa Rica - Grand Cayman Islands",BAC One Eleven,,,"{'total': 23, 'passengers': 18, 'crew': 5}","{'total': 2, 'passengers': 2, 'crew': 0}",0.0,"The jetliner, flying at 29,000 ft., was caught in violent downdrafts dropping the airplane 10,000 ft in four successive plunges before the pilot was able to regain control of the aircraft. Costa Rican publisher and former ambassador to the U.S. Ricardo Castro Beeche and another male passenger were killed when they were ejected out of their seats. Both had failed to fasten their seatbelts even after a warning ten minutes earlier. The plane landed safely at Grand Cayman Islands 40 minutes after the event. There was no apparent damage to the aircraft.",23,2,LACSA,Over the Carribean Sea
3881,1950,1959-05-15,2042,"Off Mar del Plata, Aregntina",Aerolineas Argentinas,,Mar del Plata - Bahia Blanca,Douglas DC-3,LV-AFW,19790,"{'total': 10, 'passengers': 6, 'crew': 4}","{'total': 10, 'passengers': 6, 'crew': 4}",0.0,Crashed into the sea during a steep turn following a takeoff at night. Undetermined cause.,10,10,Aerolineas Argentinas,"Off Mar del Plata, Aregntina"
3924,1960,1965-01-22,,Mt. Helmos. Greece,Military - U.S. Air Force,,Aviano - Athens,Douglas C-124C,52-1058,43967,"{'total': 10, 'passengers': 0, 'crew': 10}","{'total': 10, 'passengers': 0, 'crew': 10}",0.0,"In poor visibility, struck Mt Helmos located near Kalávryta, 40 km southeast of Patras.",10,10,Military,Mt. Helmos. Greece
3972,1960,1965-11-02,,"Obock, French Somaliland",Military - French Air Force,,Djibouti - Obock,Douglas C-47A,316410,20876,"{'total': 30, 'passengers': 25, 'crew': 5}","{'total': 30, 'passengers': 25, 'crew': 5}",0.0,The plane crashed and exploded as it attempted to land at Obock. The civilians aboard included a hand-ball team.,30,30,Military,"Obock, French Somaliland"
4043,1970,1970-01-12,1200,Near Villia Greece,Military - Royal Hellenic Air Force,,Military exercise,Douglas C-47,,,"{'total': 27, 'passengers': 22, 'crew': 5}","{'total': 23, 'passengers': 19, 'crew': 4}",0.0,"The aircraft, carrying paratroopers, crashed into a mountain in fog.",27,23,Military,Near Villia Greece
4080,1970,1970-07-03,1400,"McGrath, Alakska",Reeder Flying Service,,"McGrath AK - Galena, AK",Douglas DC-3,N154R,6156,"{'total': 27, 'passengers': 25, 'crew': 2}","{'total': 5, 'passengers': 4, 'crew': 1}",0.0,"Crashed into trees shortly after taking off. The pilot rotated at V2 speed and then reduced power when the copilot raised the landing gear.The right main gear was still on the ground when retracted, causing the propeller to strike the runway surface.",27,5,Reeder Flying Service,"McGrath, Alakska"
4124,1960,1964-03-01,1129,"Near Zephyr Cove, Nevada",Paradise Airlines,901A,"San Jose, CA - Lake Tahoe",Lockheed 049 Constellation,N86504,2025,"{'total': 85, 'passengers': 81, 'crew': 4}","{'total': 85, 'passengers': 81, 'crew': 4}",0.0,"The aircraft crashed into Genoa Peak while attempting to land under VFR conditions after a missed approach and go-around. The captain's decision not to wait until the weather improved or divert to an alternate airport during adverse weather conditions. The pilot's deviation from prescribed VFR flight procedures in attempting a visual landing approach in adverse weather conditions. This resulted in an abandoned approach and geographical disorientation while flying below the minimum altitude prescribed or operations in mountainous areas. The aircraft was named ""City of Los Angeles.""",85,85,Paradise Airlines,"Near Zephyr Cove, Nevada"
4128,1960,1964-03-10,0822,"Boston, Massachutes",Slick Airways - Cargo,12,New York - Winsor Locks - Boston,Douglas DC-4,N384,18379,"{'total': 3, 'passengers': 0, 'crew': 3}","{'total': 3, 'passengers': 0, 'crew': 3}",0.0,"While on approach, the cargo plane suddenly pitched down and crashed short of the runway. Loss of balancing forces on the horizontal surface of the empennage of the aircraft, due to ice accretion, causing the aircraft to pitch nose down at an altitude too low to effect recovery.",3,3,Slick Airways - Cargo,"Boston, Massachutes"
4210,1950,1958-07-09,1405,"Dhaka, Baangladesh",Indian Airlines,,Agartala - Dhaka,Douglas C-47A,VT-CYM,19317,"{'total': 3, 'passengers': 0, 'crew': 3}","{'total': 3, 'passengers': 0, 'crew': 3}",0.0,The cargo plane suffered structural failure in thunderstorm activity.,3,3,Indian Airlines,"Dhaka, Baangladesh"
4217,1950,1958-09-02,0610,Off Guam,Military - U.S. Air Force,,Guam - Clark AB,Douglas C-124C Globemaster,52-1081A,43990,"{'total': 19, 'passengers': 12, 'crew': 7}","{'total': 19, 'passengers': 12, 'crew': 7}",0.0,The aircraft crashed 35 miles west of Agana Naval Air Station. In-flight fire of unknown origin.,19,19,Military,Off Guam
4226,1950,1958-09-29,,Over the Mediterranean Sea,Middle East Airlines,,Beirut - Rome - London,Avro 685 York I,OD-ADB,1307,"{'total': 5, 'passengers': 0, 'crew': 5}","{'total': 5, 'passengers': 0, 'crew': 5}",0.0,The cargo plane disappeared over the Mediterranean Sea and was never found.,5,5,Middle East Airlines,Over the Mediterranean Sea
4340,1970,1974-06-27,,"Battambang, Khmer Republic",Cambodia Air,1999,Battambang - Phnom Penh,Boeing 307B-1 Stratoliner,XW-TFR,1999,"{'total': 39, 'passengers': 33, 'crew': 6}","{'total': 19, 'passengers': 17, 'crew': 2}",0.0,Crashed during takeoff and burned after 3 engines failed. Mechanical failure due to improper maintenance procedures. Insufficient training of cabin crew.,39,19,Cambodia Air,"Battambang, Khmer Republic"
4400,1940,1948-04-24,0930,Near Irkutsk Russia,Aeroflot,,Kirensk - Badaybo,Lisnov Li-2,CCCP-L4460,3704,"{'total': 29, 'passengers': 25, 'crew': 4}","{'total': 28, 'passengers': 24, 'crew': 4}",0.0,"Crashed in an icy river, 20 miles from its destination. The flight crew who had been drinking the previous night, diverted from the correct route and had been flying at an altitude of about 300 ft. when they crashed.",29,28,Aeroflot,Near Irkutsk Russia
4414,1940,1948-07-07,0950,"Djiring, French Indo-China",Aigle Azur,,Saigon - Da Lat,Douglas DC-3,F-BCYP,9158,"{'total': 16, 'passengers': 13, 'crew': 3}","{'total': 16, 'passengers': 13, 'crew': 3}",0.0,Crashed into mountains 50 miles southwest of Da Lat in adverse meteriological conditions and absence of adequate ground facililities.,16,16,Aigle Azur,"Djiring, French Indo-China"
4416,1940,1948-07-16,1800,Pacific Ocean between Hong Kong and Macao,Cathay Pacific Airways,,Macau - Hong Kong,Consolidated OA-10 Catalina,VR-HDT,,"{'total': 26, 'passengers': 23, 'crew': 3}","{'total': 25, 'passengers': 22, 'crew': 3}",0.0,"The plane crashed after being hijacked. While trying to take control of the aircraft, one of the passengers tried to stop the hijackers, In response, one of the hijackers shot wildly striking and killing both pilots The plane went out of control and crashed. One of the hijackers survived by jumping out of the rear exit before the plane hit the water.  He was held in Macao prison for three years and released in 1951.First commercial aircraft to be hijacked.",26,25,Cathay Pacific Airways,Pacific Ocean between Hong Kong and Macao
4455,1940,1949-01-17,c 13:40,"Atlantic Ocean, off Bermuda",British South American Airways,,Bermuda - Kingston,Avro 688 Tudor 4B,G-AGRE,1253,"{'total': 20, 'passengers': 13, 'crew': 7}","{'total': 20, 'passengers': 13, 'crew': 7}",0.0,"Lost at sea on a flight from Bermuda to Kingston, Jamaica. The last radio message reported the plane was crossing 30 degrees N.  Nothing further was heard from the plane. No wreckage was ever found. The weather was good at the time. The plane was named ""Star Ariel."" Cause undetermined.",20,20,British South American Airways,"Atlantic Ocean, off Bermuda"
4473,1940,1949-05-07,16:00,"Sibuyan Sea, off the Philippine island of Elalat",Philippine Air Lines,,Daet - Manila,Douglas DC-3,PI-C-98,16743/33491,"{'total': 13, 'passengers': 10, 'crew': 3}","{'total': 13, 'passengers': 10, 'crew': 3}",0.0,"The plane was on a flight from Daet, Camarines to Manila when it crashed after experiencing a violent explosion in the tail of the aircraft. Two ex-convicts confessed to planting a time bomb aboard the flight in order to kill the husband of a woman involved with another man.",13,13,Philippine Air Lines,"Sibuyan Sea, off the Philippine island of Elalat"
4570,1960,1961-01-22,0304,Midway Island Naval Air Station,Military - U.S. Navy,,Survey,Lockheed WV-2 Super Constellation,BU143193,4467,"{'total': 22, 'passengers': 0, 'crew': 22}","{'total': 6, 'passengers': 0, 'crew': 6}",3.0,"While returning from an aborted barrier mission, the aircraft hit a seawall at end of short runway. The main landing gear was sheared off and the aircraft cartwheeled, slid into a vehicle, exploded and burned.",22,6,Military,Midway Island Naval Air Station
4653,1970,1977-06-21,2230,Off Wake Island,Military - U.S. Navy,,Wake-Agana,Lockheed EC-130Q,156176,4280,"{'total': 16, 'passengers': 0, 'crew': 16}","{'total': 16, 'passengers': 0, 'crew': 16}",0.0,Crashed into the Pacific Ocean and exploded moments after taking off from Wake Island Air Base. The plane rose no higher than 400 ft. before crashing one mile from the end of the runway.,16,16,Military,Off Wake Island
4871,1980,1989-09-21,,"Centeral Afghanistan
Afghanistan",Military - Afghan Republican Air Force,,,Mil Mi-8 (helicopter),,,"{'total': 26, 'passengers': None, 'crew': None}","{'total': 26, 'passengers': None, 'crew': None}",0.0,,26,26,Military,"Centeral Afghanistan
Afghanistan"
